row,Region,Avg. temperature,Regional Illnesses,Week of
341,02,39.35421686746987,4,03/04/2023
342,03,54.82862190812721,5,03/04/2023
343,04,72.41589673913039,32,03/04/2023
344,05,45.012022900763355,5,03/04/2023
345,06,71.43220675944337,21,03/04/2023
346,07,52.21043689320389,9,03/04/2023
347,08,35.19209621993128,2,03/04/2023
348,09,46.23333333333334,10,03/04/2023
349,10,37.15714285714285,14,03/04/2023
350,01,36.85970149253731,5,02/25/2023
351,02,42.274698795180726,4,02/25/2023
352,03,58.57137809187281,7,02/25/2023
353,04,70.2747282608696,29,02/25/2023
354,05,40.78053435114502,4,02/25/2023
355,06,67.21053677932406,23,02/25/2023
356,07,42.545873786407796,4,02/25/2023
357,08,24.590034364261175,7,02/25/2023
358,09,50.97222222222222,6,02/25/2023
359,10,35.91848739495799,5,02/25/2023
360,01,46.63731343283581,6,02/18/2023
361,02,50.88433734939758,5,02/18/2023
362,03,56.5964664310954,5,02/18/2023
363,04,63.5762228260869,13,02/18/2023
364,05,44.31030534351146,5,02/18/2023
365,06,61.0990059642148,7,02/18/2023
366,07,44.8621359223301,14,02/18/2023
367,08,35.47525773195878,14,02/18/2023
368,09,51.17555555555555,4,02/18/2023
369,10,40.536134453781514,8,02/18/2023
370,01,38.9179104477612,7,02/11/2023
371,02,43.34698795180723,9,02/11/2023
372,03,53.851236749116644,8,02/11/2023
373,04,64.27989130434784,12,02/11/2023
374,05,43.296946564885495,5,02/11/2023
375,06,61.81252485089464,6,02/11/2023
376,07,46.866747572815534,0,02/11/2023
377,08,38.204810996563566,7,02/11/2023
378,09,55.31888888888888,5,02/11/2023
379,10,41.874789915966375,9,02/11/2023
380,01,32.31194029850747,5,02/04/2023
381,02,34.41686746987952,6,02/04/2023
382,03,43.140989399293304,5,02/04/2023
383,04,54.43220108695653,19,02/04/2023
384,05,23.631106870229022,5,02/04/2023
385,06,45.975745526838935,6,02/04/2023
386,07,27.081310679611637,5,02/04/2023
387,08,20.2979381443299,7,02/04/2023
388,09,50.418888888888894,4,02/04/2023
389,10,33.60000000000001,10,02/04/2023
390,01,35.699999999999996,7,01/28/2023
391,02,37.28795180722891,6,01/28/2023
392,03,43.13038869257945,4,01/28/2023
393,04,53.04157608695651,9,01/28/2023
394,05,32.81469465648856,6,01/28/2023
395,06,51.524254473161044,3,01/28/2023
396,07,35.55145631067962,5,01/28/2023
397,08,30.15154639175257,15,01/28/2023
398,09,51.610000000000014,6,01/28/2023
399,10,37.59999999999999,4,01/28/2023
400,01,36.126865671641795,2,01/21/2023
401,02,37.99277108433734,3,01/21/2023
402,03,47.08091872791516,5,01/21/2023
403,04,59.87119565217391,8,01/21/2023
404,05,39.30419847328243,6,01/21/2023
405,06,64.22842942345929,10,01/21/2023
406,07,42.756796116504816,5,01/21/2023
407,08,31.9759450171821,5,01/21/2023
408,09,46.05888888888891,7,01/21/2023
409,10,38.71512605042014,5,01/21/2023
410,01,37.09104477611939,0,01/14/2023
411,02,39.31084337349396,3,01/14/2023
412,03,45.63533568904594,3,01/14/2023
413,04,59.40611413043474,11,01/14/2023
414,05,36.256488549618325,5,01/14/2023
415,06,65.03936381709742,6,01/14/2023
416,07,42.13106796116502,0,01/14/2023
417,08,34.025773195876305,0,01/14/2023
418,09,52.285555555555575,11,01/14/2023
419,10,41.388235294117656,4,01/14/2023
420,01,43.33582089552239,3,01/07/2023
421,02,48.99277108433734,4,01/07/2023
422,03,58.030035335689035,6,01/07/2023
423,04,66.27323369565207,8,01/07/2023
424,05,41.016221374045834,4,01/07/2023
425,06,67.09642147117297,8,01/07/2023
426,07,43.339563106796085,9,01/07/2023
427,08,29.223711340206187,9,01/07/2023
428,09,48.40222222222222,6,01/07/2023
429,10,37.63445378151261,4,01/07/2023
430,01,33.15074626865672,4,12/31/2022
431,02,34.62409638554217,8,12/31/2022
432,03,40.83003533568902,6,12/31/2022
433,04,50.098913043478284,6,12/31/2022
434,05,31.237595419847313,4,12/31/2022
435,06,56.82584493041746,5,12/31/2022
436,07,38.759223300970866,0,12/31/2022
437,08,33.53539518900343,7,12/31/2022
438,09,54.235555555555536,9,12/31/2022
439,10,41.01092436974788,2,12/31/2022
440,01,39.21791044776121,4,12/24/2022
441,02,38.484337349397585,4,12/24/2022
442,03,40.10671378091872,5,12/24/2022
443,04,46.987500000000026,10,12/24/2022
444,05,22.559160305343525,4,12/24/2022
445,06,45.773757455268374,10,12/24/2022
446,07,22.032766990291254,5,12/24/2022
447,08,11.742955326460478,5,12/24/2022
448,09,50.10444444444444,12,12/24/2022
449,10,27.71932773109244,8,12/24/2022
450,01,33.68955223880597,3,12/17/2022
451,02,35.60361445783132,3,12/17/2022
452,03,43.485512367491175,6,12/17/2022
453,04,57.526902173913086,6,12/17/2022
454,05,38.0837786259542,4,12/17/2022
455,06,59.332604373757476,3,12/17/2022
456,07,39.48883495145629,13,12/17/2022
457,08,28.763917525773195,0,12/17/2022
458,09,47.046666666666674,2,12/17/2022
459,10,34.49831932773107,0,12/17/2022
460,01,46.17910447761195,4,12/10/2022
461,02,46.41927710843374,6,12/10/2022
462,03,51.79151943462898,6,12/10/2022
463,04,65.09904891304349,14,12/10/2022
